location ,sqft_area,price,bathrooms,rooms
 Rajendra Nagar Sector 2 ,4600,270,4 bath,5 BHK
 Vasundhara Sector 12 ,3200,230,4 bath,5 BHK
Niti khand,2667,240,4 bath,5 BHK
 Wave City ,3526,225,4 bath,5 BHK
 Ahinsa Khand-2,2100,110,4 bath,5 BHK
Niti khand,3250,290,4 bath,5 BHK
 Vaishali Sector 3 ,2691,205,4 bath,5 BHK
" Antriksh Greens, Indirapuram",4000,250,4 bath,5 BHK
Indirapuram,3600,260,4 bath,6 BHK
Raj Nagar extension,2900,140,4 bath,6 BHK
 Vaishali Sector 4 ,9500,500,4 bath,6 BHK
"DesignArch Gardenia E homes, in Vaishali ",7000,400,4 bath,6 BHK
Raj Nagar extension,1965,140,4 bath,6 BHK
 Vasundhara Sector 3,2100,110,4 bath,6 BHK
 Vasundhara Sector 3,3600,170,4 bath,6 BHK
 Vijay Nagar ,400,75,4 bath,6 BHK
Pratap Vihar,1200,115,4 bath,6 BHK
 Murad Nagar,1850,50,4 bath,6 BHK
Pratap Vihar,900,77,4 bath,6 BHK
 Baghpat Road,1337,65,4 bath,6 BHK
Naya Ganj,3150,250,4 bath,6 BHK
 Vaishali Sector 9,1973,295,4 bath,6 BHK
 Khora,1200,45,4 bath,6 BHK
 Indirapuram,3000,375,4 bath,6 BHK
 Loni,1485,80,4 bath,6 BHK
 Murad Nagar,1800,110,4 bath,6 BHK
 Vasundhara,3300,250,4 bath,6 BHK
 Adarsh Nagar,124,100,4 bath,6 BHK
Nehru Nagar,3060,350,4 bath,6 BHK
Shastri Nagar,2827,200,4 bath,6 BHK
 Dundahera,720,30,4 bath,6 BHK
 Madhopura,757,35,4 bath,6 BHK
Raj Nagar extension,4000,425,4 bath,6 BHK
Nehru Nagar,5000,400,4 bath,6 BHK
Shastri Nagar,6000,400,4 bath,6 BHK
Kavi Nagar,12942,1200,4 bath,6 BHK
 Vaishali Sector 4,4268,450,4 bath,6 BHK
 Chiranjeev Vihar,1400,165,4 bath,6 BHK
 Rajendra Nagar Sector 5,1890,210,4 bath,6 BHK
 Madhopura,1872,60,4 bath,6 BHK
 Grand Trunk Road ,1620,70,4 bath,6 BHK
 Vasundhara Sector 11,2720,300,4 bath,6 BHK
 Sanjay Nagar,2260,185,4 bath,6 BHK
Govindpuram,90,90,4 bath,6 BHK
 Loni,2700,100,4 bath,6 BHK
 Chiranjeev Vihar,2475,125,4 bath,6 BHK
" Shyam Park Extension, Rajendra Nagar",558,100,4 bath,6 BHK
NH 24,10000,3300,5 bath,7 BHK
 Ram Prastha,800,350,5 bath,7 BHK
Nehru Nagar,1783,280,5 bath,7 BHK
 Rajendra Nagar sector 4,1395,250,5 bath,7 BHK
" Pasaunda, Hindan Residential Area",900,65,5 bath,7 BHK
Govindpuram,960,125,5 bath,7 BHK
Shastri Nagar,5735,700,5 bath,7 BHK
 Chikamberpur,2800,150,5 bath,7 BHK
Shastri Nagar,6200,250,5 bath,7 BHK
 Chhapraula,900,70,5 bath,7 BHK
Shastri Nagar,1206,110,5 bath,7 BHK
Mohan Nagar,2000,160,5 bath,7 BHK
Govindpuram,3150,100,5 bath,7 BHK
 Patel Nagar ,3400,470,5 bath,7 BHK
 Chiranjeev Vihar,3800,250,5 bath,7 BHK
 Raj Bagh,1575,55,5 bath,7 BHK
Indirapuram,3600,260,5 bath,6 BHK
 Vasundhara Sector 3,2100,110,5 bath,6 BHK
 Vasundhara Sector 3,3600,170,5 bath,6 BHK
 Vijay Nagar ,400,75,5 bath,6 BHK
Raj Nagar extension,2900,140,5 bath,6 BHK
Pratap Vihar,1200,115,5 bath,6 BHK
 Murad Nagar,1850,50,5 bath,6 BHK
Pratap Vihar,2000,77,5 bath,6 BHK
 Baghpat Road,1337,65,5 bath,6 BHK
Naya ganj,3150,250,5 bath,6 BHK
 Vaishali Sector 9,1973,295,5 bath,6 BHK
 Khora,1700,45,5 bath,6 BHK
 Indirapuram,3000,375,5 bath,6 BHK
 Loni,2000,80,5 bath,6 BHK
 Murad Nagar,1800,110,5 bath,6 BHK
 Vasundhara,3300,250,5 bath,6 BHK
 Adarsh Nagar,124,100,5 bath,6 BHK
Nehru Nagar,3060,350,5 bath,6 BHK
Shastri Nagar,2827,200,5 bath,6 BHK
Dundahera,720,30,5 bath,6 BHK
 Madhopura,757,35,5 bath,6 BHK
 Lohia Nagar,6300,243,8 bath,8 BHK
Vaishali Sector 3  ,3700,400,8 bath,8 BHK
Shalimar garden,1350,175,8 bath,8 BHK
Ghukna,585,45,8 bath,8 BHK
Nehru Nagar,1800,180,8 bath,8 BHK
 Ka Block,4000,550,8 bath,8 BHK
 Khora,1755,65,8 bath,8 BHK
Ghukna,1080,40,8 bath,8 BHK
Nehru Nagar,4801,300,8 bath,8 BHK
 Bhopura,1248,100,8 bath,8 BHK
Nehru Nagar,3600,400,8 bath,8 BHK
" Pasaunda, Hindan Residential Area",1000,28,8 bath,8 BHK
Shastri Nagar,2700,100,8 bath,8 BHK
Govindpuram,960,125,8 bath,7 BHK
 Ram Prastha,800,350,8 bath,7 BHK
 Rajendra Nagar sector 4,1395,250,8 bath,7 BHK
" Pasaunda, Hindan Residential Area",900,65,8 bath,7 BHK
Nehru Nagar,1783,280,8 bath,7 BHK
Shastri Nagar,6200,250,8 bath,7 BHK
 Dasna,2500,90,8 bath,7 BHK
 Chhapraula,900,70,8 bath,7 BHK
Shastri Nagar,1206,110,8 bath,7 BHK
 Chiranjeev Vihar,3800,250,8 bath,7 BHK
 Chikamberpur,2800,150,8 bath,7 BHK
 Raj Bagh,1575,55,8 bath,7 BHK
Shastri Nagar,5735,700,8 bath,7 BHK
Mohan Nagar,2000,160,8 bath,7 BHK
Govindpuram,3150,100,8 bath,7 BHK
 Patel Nagar ,3400,470,8 bath,7 BHK
"DesignArch Gardenia E homes, in Vaishali ",7000,400,8 bath,9 BHK
 Indirapuram,1195,175,8 bath,9 BHK
Raj Nagar extension,12000,1467,8 bath,9 BHK
Raj Nagar extension,13000,1467,8 bath,9 BHK
 Indirapuram,3622,210,8 bath,9 BHK
Niti khand,3478,295,8 bath,9 BHK
 Morti,900,60,8 bath,9 BHK
Niti khand,3700,182,8 bath,9 BHK
Niti khand,4000,300,8 bath,9 BHK
 Vasundhara Sector 11,4481,310,8 bath,9 BHK
Shastri Nagar,2484,95,8 bath,9 BHK
 Model town east,4750,475,8 bath,9 BHK
 Patel Nagar ,2000,60,8 bath,9 BHK
 Madhopura,2600,110,8 bath,9 BHK
" Old Arya Nagar,Ghaziabad",2565,100,8 bath,9 BHK
 Sanjay Nagar,738,88,8 bath,9 BHK
Shalimar garden,2088,105,8 bath,9 BHK
Pratap Vihar,3585,180,8 bath,9 BHK
 Sain Vihar,972,40,8 bath,9 BHK
Shalimar garden,3000,135,8 bath,9 BHK
Shastri Nagar,5256,400,8 bath,9 BHK
 Lohia Nagar,6300,243,8 bath,8 BHK
Vaishali Sector 3  ,3700,400,8 bath,8 BHK
Shalimar garden,1350,175,8 bath,8 BHK
Ghukna,585,45,8 bath,8 BHK
Nehru Nagar,1800,180,8 bath,8 BHK
 Ka Block,4000,550,8 bath,8 BHK
 Khora,1755,65,8 bath,8 BHK
Ghukna,1080,40,8 bath,8 BHK
Nehru Nagar,4801,300,8 bath,8 BHK
 Bhopura,1248,100,8 bath,8 BHK
Nehru Nagar,3600,400,8 bath,8 BHK
" Pasaunda, Hindan Residential Area",1000,28,8 bath,8 BHK
Shastri Nagar,2700,100,8 bath,8 BHK
  Ghaziabad Road,3150,400,8 bath,10 BHK
  Mahiuddin Pur Kanawni,1791,70,8 bath,10 BHK
  Chhapraula,2400,135,8 bath,10 BHK
  Chhapraula,2400,135,8 bath,10 BHK
 Indirapuram,1205,175,8 bath,9 BHK
Raj Nagar extension,12000,1467,8 bath,9 BHK
Raj Nagar extension,13000,1467,8 bath,9 BHK
 Indirapuram,3622,210,8 bath,9 BHK
Niti khand,3509,295,8 bath,9 BHK
 Morti,900,60,8 bath,9 BHK
" DesignArch Gardenia E homes, Vaishali",7000,400,8 bath,9 BHK
Niti khand,3700,182,8 bath,9 BHK
Niti khand,4000,300,8 bath,9 BHK
 Vasundhara Sector 11,4520,310,8 bath,9 BHK
Shastri Nagar,2484,95,8 bath,9 BHK
 Patel Nagar ,2000,60,8 bath,9 BHK
 Madhopura,2600,110,8 bath,9 BHK
" Old Arya Nagar,Ghaziabad",2565,100,8 bath,9 BHK
 Sanjay Nagar,738,88,8 bath,9 BHK
Shalimar garden,2088,105,8 bath,9 BHK
Pratap Vihar,3616,180,8 bath,9 BHK
Shalimar garden,3000,135,8 bath,9 BHK
Shastri Nagar,5256,400,8 bath,9 BHK
Vaishali,600,38,1 bath,1 BHK
Ahinsa khand,600,28,1 bath,1 BHK
Ankur vihar,450,10.25,1 bath,1 BHK
Nyay khand,190,13,1 bath,1 BHK
Ankur vihar,450,10,1 bath,1 BHK
Vaishali Sector 2,450,26,1 bath,1 BHK
Vrindavan Garden,450,21,1 bath,1 BHK
Shakti Khand,500,16,1 bath,1 BHK
"Vasundhara Sector 1, Ghaziabad",500,19,1 bath,1 BHK
Govindpuram,50,11,1 bath,1 BHK
Indirapuram,500,18,1 bath,1 BHK
Indirapuram,500,23,1 bath,1 BHK
Ankur vihar,510,11,1 bath,1 BHK
 Raj Bagh,450,20,1 bath,1 BHK
Madhuban Bapudham,32,16,1 bath,1 BHK
Vaishali Sector 2,450,20,1 bath,1 BHK
Ankur vihar,510,13,1 bath,1 BHK
Vaishali Sector 2,550,28,1 bath,1 BHK
Madhuban Bapudham,50,19,1 bath,1 BHK
Madhuban Bapudham ,112,48,1 bath,1 BHK
Raj Nagar extension,670,22,1 bath,1 BHK
Raj Nagar extension,695,35,1 bath,1 BHK
Chipiyana Buzurg,585,15.99,1 bath,1 BHK
Madhuban Bapudham,45,13.5,1 bath,1 BHK
Ankur vihar,455,13,1 bath,1 BHK
 Siddhartha Vihar,1000,21,2 bath,2 BHK
Niti khand,900,39.5,2 bath,2 BHK
Sahibabad,900,32,2 bath,2 BHK
Ankur vihar,710,21.5,2 bath,2 BHK
Gyan Khand,800,40,2 bath,2 BHK
Shalimar garden,950,35,2 bath,2 BHK
Ahinsa khand,920,47,2 bath,2 BHK
Indrapuram,73,43,2 bath,2 BHK
Ankur vihar,700,22,2 bath,2 BHK
Indirapuram,850,28.25,2 bath,2 BHK
Vaishali Sector 2,750,37,2 bath,2 BHK
Indirapuram,800,43.5,2 bath,2 BHK
Gyan Khand,645,42.5,2 bath,2 BHK
Shakti Khand 3,900,39.5,2 bath,2 BHK
Gyan Khand,850,39.5,2 bath,2 BHK
 Vaishali Sector 4 ,985,62,2 bath,2 BHK
Shalimar garden,900,36,2 bath,2 BHK
Shalimar garden,950,42,2 bath,2 BHK
Shalimar garden,910,37,2 bath,2 BHK
Shalimar garden,850,35,2 bath,2 BHK
Shalimar garden,125,53,2 bath,2 BHK
Shalimar garden,900,25,2 bath,2 BHK
 Siddhartha Vihar,970,52.2,2 bath,2 BHK
Rajendra nagar,800,38.75,2 bath,2 BHK
Gyan khand,850,38.25,2 bath,2 BHK
Bamheta,885,36.13,2 bath,3 BHK
NH 24,1700,36.52,2 bath,3 BHK
"Vasundhara, Ghaziabad - Furnished",1475,75,2 bath,3 BHK
Vasundhara Sector 1,1456,90,2 bath,3 BHK
Niti khand,1300,67.5,2 bath,3 BHK
Niti khand,1350,65,2 bath,3 BHK
Indirapuram,1250,75,2 bath,3 BHK
Vasundhara Sector 5,85,54,2 bath,3 BHK
Shakti Khand 2,1250,59,2 bath,3 BHK
Niti khand,1300,55,2 bath,3 BHK
 Siddhartha Vihar,1185,45.5,2 bath,3 BHK
Vasundhara Sector 1,1375,57.5,2 bath,3 BHK
"Vasundhara Sector 1, Ghaziabad",1425,78.5,2 bath,3 BHK
"Vasundhara Sector 1, Ghaziabad",1375,67.5,2 bath,3 BHK
Shakti Khand,90,48,2 bath,3 BHK
Raj Nagar extension,1475,75,2 bath,3 BHK
"Vasundhara Sector 15, Ghaziabad",1650,120,2 bath,3 BHK
Vaishali sector 1,1515,85,2 bath,3 BHK
Shalimar garden,200,50,2 bath,3 BHK
Vaishali sector 1,1390,78,2 bath,3 BHK
 Vasundhara Sector 12 ,2100,170,2 bath,3 BHK
Indirapuram,1300,75,2 bath,3 BHK
Indirapuram,90,62,2 bath,3 BHK
Indirapuram,78,48,2 bath,3 BHK
Indirapuram,90,60,2 bath,3 BHK
Niti khand,200,160,3 bath,4 BHK
Vasundhara Sector 14,288,275,3 bath,5 BHK
Niti khand,220,180,3 bath,4 BHK
Vasundhara Sector 3,1800,135,3 bath,4 BHK
Vaibhav Khand,2500,145,3 bath,4 BHK
Indirapuram,3800,300,3 bath,5 BHK
Niti khand,2520,220,3 bath,4 BHK
Vasundhara,1950,110,3 bath,4 BHK
Raj Nagar extension,1775,92,3 bath,4 BHK
Indirapuram,145,96,3 bath,4 BHK
Indirapuram,220,178,3 bath,4 BHK
Indirapuram,175,95,3 bath,4 BHK
Indirapuram,2800,250,3 bath,5 BHK
Rajendra Nagar,300,150,3 bath,5 BHK
Indrapuram,2550,225,3 bath,4 BHK
"Rajendra Nagar Sector 2, Ghaziabad",1700,89,3 bath,4 BHK
"Vasundhara Sector 10, Ghaziabad",1600,60,3 bath,4 BHK
Indirapuram,3000,250,3 bath,4 BHK
Vasundhara,300,248,3 bath,5 BHK
Vaishali Sector 3  ,1680,123,3 bath,4 BHK
Vasundhara,2450,110,3 bath,4 BHK
Indirapuram,2370,220,3 bath,4 BHK
Ahinsa khand,4200,315,3 bath,5 BHK
Vasundhara Sector 1,1890,90,3 bath,4 BHK
"Vasundhara, Ghaziabad - Furnished",2450,90,3 bath,5 BHK
Bamheta,885,36.13,2 bath,3 BHK
NH 24,1700,36.52,2 bath,3 BHK
 Siddhartha Vihar,1000,21,2 bath,2 BHK
Niti khand,900,39.5,2 bath,2 BHK
"Vasundhara, Ghaziabad - Furnished",1475,75,2 bath,3 BHK
Vasundhara,1456,90,2 bath,3 BHK
Niti khand,1300,67.5,2 bath,3 BHK
Niti khand,1350,65,2 bath,3 BHK
Niti khand,200,160,2 bath,4 BHK
Sahibabad,900,32,2 bath,2 BHK
Indrapuram,1250,75,2 bath,3 BHK
Vasundhara Sector 14,288,275,2 bath,5 BHK
Vasundhara Sector 5,85,54,2 bath,3 BHK
Vaishali,600,38,2 bath,1 BHK
Shakti Khand 2,1250,59,2 bath,3 BHK
Niti khand,1300,55,2 bath,3 BHK
Ankur vihar,710,21.5,2 bath,2 BHK
Gyan khand,800,40,2 bath,2 BHK
Vasundhara Sector 1,1375,57.5,2 bath,3 BHK
Shalimar garden,950,35,2 bath,2 BHK
Ahinsa khand,600,28,2 bath,1 BHK
Ahinsa khand,920,47,2 bath,2 BHK
Indrapuram,73,43,2 bath,2 BHK
Ankur vihar,450,10.25,2 bath,1 BHK
Ankur vihar,700,22,2 bath,2 BHK
pandav nagar,1340,49,2 Baths,3 BHK
 Wave City ,1125,57,2 Baths,3 BHK
Vasundhara,750,34.75,2 Baths,2 BHK
Vasundhara,1450,80,3 Baths,3 BHK
Dundahera,675,25,2 Baths,2 BHK
Raj Nagar extension,960,36,2 Baths,2 BHK
Dundahera,1660,58,3 Baths,3 BHK
